ENSEMBL_GENE_ID	GENE_NAME
ENSG00000128513	POT1
ENSG00000253729	PRKDC
ENSG00000168539	CHRM1
ENSG00000164924	YWHAZ
ENSG00000120738	EGR1
ENSG00000135446	CDK4
ENSG00000207730	MIR200B
ENSG00000149554	CHEK1
ENSG00000104290	FZD3
ENSG00000196470	SIAH1
ENSG00000012048	BRCA1
ENSG00000149269	PAK1
ENSG00000161960	EIF4A1
ENSG00000089159	PXN
ENSG00000185122	HSF1
ENSG00000101255	TRIB3
ENSG00000179632	MAF1
ENSG00000096996	IL12RB1
ENSG00000002330	BAD
ENSG00000234876	NOTCH4
ENSG00000250506	CDK3
ENSG00000170312	CDK1
ENSG00000182541	LIMK2
ENSG00000229006	TRIM27
ENSG00000168447	SCNN1B
ENSG00000149357	LAMTOR1
ENSG00000134982	APC
ENSG00000110324	IL10RA
ENSG00000177169	ULK1
ENSG00000106683	LIMK1
ENSG00000167658	EEF2
ENSG00000183735	TBK1
ENSG00000181072	CHRM2
ENSG00000110931	CAMKK2
ENSG00000168040	FADD
ENSG00000117676	RPS6KA1
ENSG00000204673	AKT1S1
ENSG00000100368	CSF2RB
ENSG00000099860	GADD45B
ENSG00000115966	ATF2
ENSG00000102871	TRADD
ENSG00000124216	SNAI1
ENSG00000105851	PIK3CG
ENSG00000109320	NFKB1
ENSG00000131482	G6PC
ENSG00000106348	IMPDH1
ENSG00000141564	RPTOR
ENSG00000131791	PRKAB2
ENSG00000068654	POLR1A
ENSG00000184304	PRKD1
ENSG00000106799	TGFBR1
ENSG00000101266	CSNK2A1
ENSG00000112237	CCNC
ENSG00000113558	SKP1
ENSG00000164867	NOS3
ENSG00000082701	GSK3B
ENSG00000145604	SKP2
ENSG00000175104	TRAF6
ENSG00000277626	WNT3
ENSG00000168685	IL7R
ENSG00000072310	SREBF1
ENSG00000137801	THBS1
ENSG00000064012	CASP8
ENSG00000177606	JUN
ENSG00000121858	TNFSF10
ENSG00000215641	TRIM27
ENSG00000138814	PPP3CA
ENSG00000115355	CCDC88A
ENSG00000080546	SESN1
ENSG00000105327	BBC3
ENSG00000103319	EEF2K
ENSG00000278828	HIST1H3H
ENSG00000162572	SCNN1D
ENSG00000184357	HIST1H1B
ENSG00000275379	HIST1H3I
ENSG00000197153	HIST1H3J
ENSG00000134318	ROCK2
ENSG00000083750	RRAGB
ENSG00000276536	HRAS
ENSG00000238196	NOTCH4
ENSG00000145949	MYLK4
ENSG00000198909	MAP3K3
ENSG00000101049	SGK2
ENSG00000170836	PPM1D
ENSG00000126581	BECN1
ENSG00000104695	PPP2CB
ENSG00000111319	SCNN1A
ENSG00000213341	CHUK
ENSG00000019549	SNAI2
ENSG00000108443	RPS6KB1
ENSG00000118515	SGK1
ENSG00000100227	POLDIP3
ENSG00000101096	NFATC2
ENSG00000158402	CDC25C
ENSG00000170145	SIK2
ENSG00000137713	PPP2R1B
ENSG00000102882	MAPK3
ENSG00000163041	H3F3A
ENSG00000074803	SLC12A1
ENSG00000077238	IL4R
ENSG00000111361	EIF2B1
ENSG00000162367	TAL1
ENSG00000100030	MAPK1
ENSG00000131504	DIAPH1
ENSG00000188186	LAMTOR4
ENSG00000113721	PDGFRB
ENSG00000125630	POLR1B
ENSG00000027697	IFNGR1
ENSG00000133703	KRAS
ENSG00000125629	INSIG2
ENSG00000161011	SQSTM1
ENSG00000134215	VAV3
ENSG00000139679	LPAR6
ENSG00000166501	PRKCB
ENSG00000131023	LATS1
ENSG00000105329	TGFB1
ENSG00000164885	CDK5
ENSG00000171517	LPAR3
ENSG00000039068	CDH1
ENSG00000105976	MET
ENSG00000173511	VEGFB
ENSG00000112964	GHR
ENSG00000101306	MYLK2
ENSG00000149311	ATM
ENSG00000064547	LPAR2
ENSG00000113575	PPP2CA
ENSG00000197442	MAP3K5
ENSG00000128052	KDR
ENSG00000064300	NGFR
ENSG00000123836	PFKFB2
ENSG00000277775	HIST1H3F
ENSG00000104375	STK3
ENSG00000186951	PPARA
ENSG00000104320	NBN
ENSG00000150593	PDCD4
ENSG00000013503	POLR3B
ENSG00000237462	TRIM27
ENSG00000171552	BCL2L1
ENSG00000147168	IL2RG
ENSG00000081913	PHLPP1
ENSG00000148516	ZEB1
ENSG00000207607	MIR200A
ENSG00000100906	NFKBIA
ENSG00000111816	FRK
ENSG00000105639	JAK3
ENSG00000116678	LEPR
ENSG00000064651	SLC12A2
ENSG00000175634	RPS6KB2
ENSG00000168148	HIST3H3
ENSG00000049759	NEDD4L
ENSG00000134250	NOTCH2
ENSG00000155792	DEPTOR
ENSG00000132604	TERF2
ENSG00000171862	PTEN
ENSG00000004660	CAMKK1
ENSG00000064393	HIPK2
ENSG00000178035	IMPDH2
ENSG00000124610	HIST1H1A
ENSG00000101017	CD40
ENSG00000125084	WNT1
ENSG00000100385	IL2RB
ENSG00000141543	EIF4A3
ENSG00000162434	JAK1
ENSG00000140795	MYLK3
ENSG00000166333	ILK
ENSG00000188763	FZD9
ENSG00000100393	EP300
ENSG00000106462	EZH2
ENSG00000174307	PHLDA3
ENSG00000105989	WNT2
ENSG00000126934	MAP2K2
ENSG00000105173	CCNE1
ENSG00000142627	EPHA2
ENSG00000113522	RAD50
ENSG00000078142	PIK3C3
ENSG00000107643	MAPK8
ENSG00000023902	PLEKHO1
ENSG00000275714	HIST1H3A
ENSG00000206312	NOTCH4
ENSG00000181104	F2R
ENSG00000106211	HSPB1
ENSG00000130816	DNMT1
ENSG00000147889	CDKN2A
ENSG00000105647	PIK3R2
ENSG00000112096	SOD2
ENSG00000175054	ATR
ENSG00000187837	HIST1H1C
ENSG00000274267	HIST1H3B
ENSG00000134086	VHL
ENSG00000101412	E2F1
ENSG00000132906	CASP9
ENSG00000162409	PRKAA2
ENSG00000116039	ATP6V1B1
ENSG00000120156	TEK
ENSG00000156299	TIAM1
ENSG00000078900	TP73
ENSG00000157764	BRAF
ENSG00000119535	CSF3R
ENSG00000274750	HIST1H3E
ENSG00000155760	FZD7
ENSG00000059728	MXD1
ENSG00000136238	RAC1
ENSG00000177189	RPS6KA3
ENSG00000111725	PRKAB1
ENSG00000063046	EIF4B
ENSG00000164485	IL22RA2
ENSG00000187840	EIF4EBP1
ENSG00000069869	NEDD4
ENSG00000137154	RPS6
ENSG00000124067	SLC12A4
ENSG00000105568	PPP2R1A
ENSG00000183598	HIST2H3D
ENSG00000051382	PIK3CB
ENSG00000111276	CDKN1B
ENSG00000111432	FZD10
ENSG00000121879	PIK3CA
ENSG00000157240	FZD1
ENSG00000145241	CENPC
ENSG00000132475	H3F3B
ENSG00000104205	SGK3
ENSG00000100811	YY1
ENSG00000132356	PRKAA1
ENSG00000071242	RPS6KA2
ENSG00000109819	PPARGC1A
ENSG00000165699	TSC1
ENSG00000182578	CSF1R
ENSG00000166828	SCNN1G
ENSG00000149212	SESN3
ENSG00000171791	BCL2
ENSG00000103522	IL21R
ENSG00000140199	SLC12A6
ENSG00000188375	H3F3C
ENSG00000137693	YAP1
ENSG00000068028	RASSF1
ENSG00000147145	LPAR4
ENSG00000151247	EIF4E
ENSG00000142166	IFNAR1
ENSG00000026025	VIM
ENSG00000168036	CTNNB1
ENSG00000273983	HIST1H3G
ENSG00000282988	HIST1H3D
ENSG00000124334	IL9R
ENSG00000136997	MYC
ENSG00000007968	E2F2
ENSG00000147601	TERF1
ENSG00000172939	OXSR1
ENSG00000107404	DVL1
ENSG00000077782	FGFR1
ENSG00000096384	HSP90AB1
ENSG00000142677	IL22RA1
ENSG00000016402	IL20RA
ENSG00000147883	CDKN2B
ENSG00000180340	FZD2
ENSG00000134460	IL2RA
ENSG00000213281	NRAS
ENSG00000159110	IFNAR2
ENSG00000055130	CUL1
ENSG00000171105	INSR
ENSG00000066468	FGFR2
ENSG00000162594	IL23R
ENSG00000106617	PRKAG2
ENSG00000135341	MAP3K7
ENSG00000154229	PRKCA
ENSG00000169032	MAP2K1
ENSG00000164930	FZD6
ENSG00000112715	VEGFA
ENSG00000134352	IL6ST
ENSG00000169398	PTK2
ENSG00000278272	HIST1H3C
ENSG00000276482	SLC12A7
ENSG00000147416	ATP6V1B2
ENSG00000132646	PCNA
ENSG00000141682	PMAIP1
ENSG00000164362	TERT
ENSG00000160712	IL6R
ENSG00000197409	HIST1H3D
ENSG00000037280	FLT4
ENSG00000198121	LPAR1
ENSG00000232339	NOTCH4
ENSG00000070785	EIF2B3
ENSG00000101076	HNF4A
ENSG00000168781	PPIP5K1
ENSG00000134057	CCNB1
ENSG00000105810	CDK6
ENSG00000124575	HIST1H1D
ENSG00000160867	FGFR4
ENSG00000243646	IL10RB
ENSG00000134470	IL15RA
ENSG00000145675	PIK3R1
ENSG00000104365	IKBKB
ENSG00000156976	EIF4A2
ENSG00000168610	STAT3
ENSG00000118260	CREB1
ENSG00000067560	RHOA
ENSG00000159720	ATP6V0D1
ENSG00000078747	ITCH
ENSG00000278494	RRN3
ENSG00000135679	MDM2
ENSG00000108379	WNT3
ENSG00000103197	TSC2
ENSG00000173846	PLK3
ENSG00000112242	E2F3
ENSG00000118971	CCND2
ENSG00000164053	ATRIP
ENSG00000237071	TRIM27
ENSG00000223355	NOTCH4
ENSG00000204301	NOTCH4
ENSG00000174804	FZD4
ENSG00000134853	PDGFRA
ENSG00000067182	TNFRSF1A
ENSG00000181929	PRKAG1
ENSG00000174564	IL20RB
ENSG00000103126	AXIN1
ENSG00000141968	VAV1
ENSG00000157404	KIT
ENSG00000091879	ANGPT2
ENSG00000159128	IFNGR2
ENSG00000116586	LAMTOR2
ENSG00000110092	CCND1
ENSG00000140464	PML
ENSG00000163251	FZD5
ENSG00000134324	LPIN1
ENSG00000183765	CHEK2
ENSG00000203811	HIST2H3C
ENSG00000127191	TRAF2
ENSG00000168298	HIST1H1E
ENSG00000101966	XIAP
ENSG00000141655	TNFRSF11A
ENSG00000074181	NOTCH3
ENSG00000114316	USP4
