ENSEMBL_GENE_ID	a	b	c	d	e	f
ENSG00000000003	1133	918	953	1185	730	864
ENSG00000000005	1	0	1	0	0	0
ENSG00000000419	623	173	349	431	413	527
ENSG00000000457	325	118	255	179	210	323
ENSG00000000460	301	149	230	347	402	386
ENSG00000000938	0	4	0	0	0	0
ENSG00000000971	18	43	7	55	28	56
ENSG00000001036	2707	1573	1684	2836	1728	2267
ENSG00000001084	402	94	247	127	804	1259
ENSG00000001167	759	149	651	241	669	789
ENSG00000001460	50	24	84	32	109	215
ENSG00000001461	142	59	184	119	372	384
ENSG00000001497	740	364	682	1085	714	845
ENSG00000001561	28	9	42	14	71	45
ENSG00000001617	121	197	88	103	112	131
ENSG00000001626	10	2	6	4	3	8
ENSG00000001629	595	149	442	248	522	884
ENSG00000001630	117	29	77	83	91	103
ENSG00000001631	668	143	551	286	619	932
ENSG00000002016	189	72	223	115	333	440
ENSG00000002079	6	15	4	5	5	6
ENSG00000164683	20	10	31	20	57	46
ENSG00000164684	358	149	287	244	331	495
ENSG00000164687	149	77	106	150	49	44
ENSG00000164690	429	136	421	79	296	226
ENSG00000164691	0	2	0	0	1	1
ENSG00000164692	9	29	4	10	43	40
ENSG00000164694	0	2	0	2	0	0
ENSG00000164695	82	18	81	29	156	158
ENSG00000164707	24	17	25	6	5	28
ENSG00000164708	22	23	21	8	14	43
ENSG00000164713	2130	443	2794	1194	1631	1937
ENSG00000164715	986	537	714	935	2004	2123
ENSG00000164729	0	0	0	0	0	0
ENSG00000164733	2242	3277	2788	3027	2616	3186
ENSG00000164736	0	0	0	0	0	0
ENSG00000164740	0	0	0	0	0	0
ENSG00000164741	678	1479	401	344	1965	2290
ENSG00000164742	2	19	6	4	5	2
ENSG00000164743	9	1	7	2	0	1
ENSG00000164744	0	0	1	0	0	0
ENSG00000164746	0	2	0	0	0	0
ENSG00000164749	282	78	349	246	585	713
ENSG00000164751	154	18	154	40	120	111
ENSG00000164754	2725	924	1937	2128	3642	4021
ENSG00000164756	0	2	0	0	0	0
ENSG00000164758	48	12	53	29	60	95
ENSG00000164761	219	48	53	41	114	175
ENSG00000164764	11	4	16	4	5	12
ENSG00000164776	188	320	259	267	141	207
ENSG00000164778	0	0	0	0	0	0
ENSG00000164794	0	0	0	0	0	0
ENSG00000164796	1	1	1	2	1	1
ENSG00000164808	430	399	393	618	338	487
ENSG00000164815	355	94	231	433	606	812
ENSG00000164816	0	0	0	0	0	0
ENSG00000164818	527	385	410	587	383	441
ENSG00000164821	0	0	0	0	0	0
ENSG00000164822	0	0	0	0	0	0
ENSG00000164823	191	43	92	38	395	328
ENSG00000164825	1	0	0	1	0	0
ENSG00000164828	1091	391	952	675	836	1205
ENSG00000164830	146	68	98	129	408	473
ENSG00000164841	18	5	16	3	25	27
ENSG00000164845	1	0	1	6	0	6
ENSG00000164849	54	16	71	4	56	87
ENSG00000164850	440	139	277	136	425	557
ENSG00000164853	0	0	0	0	0	0
ENSG00000164855	355	184	245	108	657	983
ENSG00000164867	5	5	9	7	9	11
ENSG00000164871	0	0	0	0	0	0
ENSG00000164877	441	177	284	242	92	100
ENSG00000164879	0	3	1	0	1	3
ENSG00000164880	2417	3457	2080	3193	2983	4088
ENSG00000164885	223	100	195	271	92	169
ENSG00000164889	4102	2409	3133	4371	3697	5185
ENSG00000164893	0	0	0	0	0	0
ENSG00000164896	1298	383	1233	879	665	1016
ENSG00000164897	875	276	846	630	546	763
ENSG00000164898	3	1	3	2	3	4
ENSG00000164900	0	2	1	0	0	0
ENSG00000164902	314	40	245	48	371	395
ENSG00000164904	552	569	571	809	450	557
ENSG00000164916	309	157	301	135	723	816
ENSG00000164919	511	548	270	490	265	298
