"","logFC","logCPM","PValue","FDR","symbol","EntrezID","Unigene"
"ENSG00000138442",-1.834822846257,4.91724379190767,0.000102015953051018,0.00319364535676396,"WDR12","55759","Hs.73291"
"ENSG00000131408",-1.85033835724676,4.63424470990849,0.000102119218809799,0.00319364535676396,"NR1H2","7376","Hs.432976"
"ENSG00000196247",-1.89044739088305,4.24849794309993,0.000103190015915418,0.00320583931599852,"ZNF107","51427","Hs.50216"
"ENSG00000123545",-1.90080344684049,4.08553045076856,0.000104026179738847,0.00321158806449977,"NDUFAF4","29078","Hs.512144"
"ENSG00000215301",-1.76155692620741,6.72268421876717,0.000106363823515289,0.0032713966652519,"DDX3X","1654","Hs.728563"
"ENSG00000143436",-1.83496927057184,4.7221820819349,0.00010780739860008,0.00330478028864762,"MRPL9","65005","Hs.288936"
"ENSG00000110711",-1.79294255949213,5.48472485038095,0.000108515800801918,0.00331548110595794,"AIP","9049","Hs.412433"
"ENSG00000104611",-1.83911511971529,4.70922695754157,0.000109711183844346,0.00334094090208507,"SH2D4A","63898","Hs.303208"
"ENSG00000180957",-1.78511380082408,5.62805376940627,0.000113850548690898,0.00345558885779906,"PITPNB","23760","Hs.705323"
"ENSG00000152127",-1.79671815488037,5.30003990198125,0.000116146386753757,0.00351371380517021,"MGAT5","4249","Hs.4988"
"ENSG00000172932",-1.75772682066128,6.17267166084898,0.000121308400178011,0.0036459694086075,"ANKRD13D","338692","Hs.438673"
"ENSG00000167862",-1.88157461797344,4.07056686769624,0.000122075631368634,0.00365179834095036,"MRPL58","3396","Hs.407955"
"ENSG00000136048",-1.77678108645317,5.60483481428544,0.000122293886133485,0.00365179834095036,"DRAM1","55332","Hs.525634"
"ENSG00000186187",-1.7951910795537,5.18935123821258,0.00012377539947899,0.00366049875318155,"ZNRF1","84937","Hs.427284"
"ENSG00000105676",-1.74979787459883,6.23268793071617,0.000128528422584863,0.00376486271489058,"ARMC6","93436","Hs.77876"
"ENSG00000160131",-1.86423999115274,4.10808314580678,0.000131462992144357,0.0038386361661898,"VMA21","203547","Hs.58633"
"ENSG00000163866",-1.86271110941273,4.18011573451765,0.000133449744158232,0.00388312934149783,"SMIM12","113444","Hs.27160"
"ENSG00000198189",-1.77720004318511,5.34690253366022,0.000134559369650224,0.00388385517953375,"HSD17B11","51170","Hs.594923"
"ENSG00000068394",-1.82810187089028,4.52815379859652,0.000135116236331455,0.00388385517953375,"GPKOW","27238","Hs.503666"
"ENSG00000240225",-1.85710539347346,4.15177560776675,0.000135722815022744,0.00388917519942502,"ZNF542P","147947","Hs.467326"
"ENSG00000171163",-1.83788804502248,4.38105064305512,0.000138433047183588,0.00394235100729311,"ZNF692","55657","Hs.377705"
"ENSG00000023041",-1.79803543654412,4.7869981075743,0.00014102153247219,0.00399969115323341,"ZDHHC6","64429","Hs.196990"
"ENSG00000234518",-1.82518879669543,4.43119713170444,0.000143101586708586,0.00402560469682964,NA,NA,NA
"ENSG00000107371",-1.85671452480317,4.17546576071182,0.00014373331602327,0.00403108603935172,"EXOSC3","51010","Hs.602571"
"ENSG00000167553",-1.72385540147676,6.5772463841091,0.000147463379580946,0.00411070877158124,"TUBA1C","84790","Hs.652390"
"ENSG00000078043",-1.81126943935767,4.49670058272664,0.000149810808662079,0.00413014827861474,"PIAS2","9063","Hs.57769"
"ENSG00000145220",-1.73754906275347,6.05799161273298,0.000149951194682555,0.00413014827861474,"LYAR","55646","Hs.425427"
"ENSG00000106144",-1.76664253262929,5.25561319317268,0.00015183494756155,0.00416958649151912,"CASP2","835","Hs.368982"
"ENSG00000088766",-1.76469787729134,5.15443983992276,0.000156807690776892,0.00421704455949814,"CRLS1","54675","Hs.743956"
"ENSG00000187778",-1.73262456612579,5.97349049041937,0.000157023148421244,0.00421704455949814,"MCRS1","10445","Hs.25313"
"ENSG00000134970",-1.80516980916383,4.54664245442277,0.000159680099995808,0.00424601810565222,"TMED7","51014","Hs.642817"
"ENSG00000172216",-1.72717633327591,6.03180948031975,0.000161017027328405,0.00426568244347462,"CEBPB","1051","Hs.517106"
"ENSG00000122140",-1.75981065630579,5.17343920580654,0.000161867796329226,0.00426568244347462,"MRPS2","51116","Hs.382044"
"ENSG00000051108",-1.73217680465171,5.81822129115613,0.000165392108902971,0.00429879715168369,"HERPUD1","9709","Hs.146393"
"ENSG00000082515",-1.7716593213117,4.88244327308907,0.000165873049459892,0.00429918715552366,"MRPL22","29093","Hs.483924"
"ENSG00000120699",-1.72556574471085,5.95525348695786,0.000166502487089069,0.00430341302064662,"EXOSC8","11340","Hs.294041"
"ENSG00000144635",-1.71712109417957,6.16389399186916,0.000170369855962318,0.0043679142845288,"DYNC1LI1","51143","Hs.529495"
"ENSG00000100105",-1.74897127534222,5.2095776470937,0.000172024578900755,0.00437264680307788,"PATZ1","23598","Hs.731398"
"ENSG00000196517",-1.75125585463993,5.20034365771546,0.000174568882396622,0.00441300569280448,"SLC6A9","6536","Hs.442590"
"ENSG00000118246",-1.8355874399055,4.11072514141096,0.00017570357786521,0.00441748477646402,"FASTKD2","22868","Hs.5930"
"ENSG00000132846",-1.72117845275209,5.91931236656333,0.00017718859921629,0.00444271523089324,"ZBED3","84327","Hs.584988"
"ENSG00000168005",-1.75566305000679,4.97729184686226,0.000179074676841167,0.00447783751548361,"C11orf84","144097","Hs.502793"
"ENSG00000078668",-1.70900315395197,6.18517934128948,0.000184743816251606,0.00460124677281211,"VDAC3","7419","Hs.699301"
"ENSG00000058056",-1.79773944042448,4.42946744593457,0.000186235016328924,0.00461300672159691,"USP13","8975","Hs.175322"
"ENSG00000079385",-1.73201782729338,5.42858869394897,0.000186480059299409,0.00461300672159691,"CEACAM1","634","Hs.512682"
"ENSG00000163950",-1.70232866250929,6.19632952351071,0.000191275263624712,0.00470639161990725,"SLBP","7884","Hs.298345"
"ENSG00000280088",-1.80459576098857,4.2712921170466,0.000197842990362076,0.00482935786262136,NA,NA,NA
"ENSG00000160818",-1.70923871878002,5.771952532273,0.000203449644151169,0.00495266580882529,"GPATCH4","54865","Hs.193832"
"ENSG00000139318",-1.68491633561434,6.58058560710952,0.000204224063970441,0.00495266580882529,"DUSP6","1848","Hs.298654"
"ENSG00000089195",-1.71733779696474,5.5250410398654,0.000204504787380778,0.00495266580882529,"TRMT6","51605","Hs.128791"
"ENSG00000173894",-1.77460672615342,4.52312556198087,0.000207200261324668,0.00499174102152144,"CBX2","84733","Hs.368410"
"ENSG00000104549",-1.68412641896639,6.42477011438762,0.000209944338029314,0.00501853991449865,"SQLE","6713","Hs.71465"
"ENSG00000167130",-1.72588383185187,5.18091877941412,0.000217997627181611,0.00517085888433091,"DOLPP1","57171","Hs.21701"
"ENSG00000133119",-1.73796268006932,4.7999051902774,0.000224858834623319,0.00527931925462942,"RFC3","5983","Hs.115474"
"ENSG00000163162",-1.76131393898921,4.4396087123487,0.000241731977205359,0.00559453893650986,"RNF149","284996","Hs.142074"
"ENSG00000124784",-1.76187342229288,4.40192559980627,0.000246662874699795,0.0056757065956484,"RIOK1","83732","Hs.437474"
"ENSG00000233966",-1.76938409984597,4.28687998724364,0.000254936073192228,0.00585148046603156,NA,NA,NA
"ENSG00000179115",-1.66404354505541,6.16181045555144,0.000259952349847717,0.00592242057295033,"FARSA","2193","Hs.23111"
"ENSG00000170525",-1.7799564785652,4.04309995673357,0.000267237046344492,0.00604681490326856,"PFKFB3","5209","Hs.195471"
"ENSG00000113407",-1.64404818869686,6.98997094369327,0.000271637032026267,0.00611246392042068,"TARS","6897","Hs.481860"
"ENSG00000112081",-1.64271257156034,7.02759532455172,0.000276862892037171,0.00620051918647324,"SRSF3","6428","Hs.405144"
"ENSG00000239305",-1.7591894756863,4.19250814508635,0.000287569316209913,0.00637837038622324,"RNF103","7844","Hs.469199"
"ENSG00000105248",-1.7320856719915,4.43595114899367,0.000291228048445067,0.00641281211431823,"CCDC94","55702","Hs.21811"
"ENSG00000067182",-1.69975132207656,4.92162717454103,0.000294119782507856,0.00644618345178145,"TNFRSF1A","7132","Hs.279594"
"ENSG00000013503",-1.68873422910651,5.07328349030715,0.00029552348567992,0.00646160000561284,"POLR3B","55703","Hs.62696"
"ENSG00000163501",-1.69478049783772,4.90476963741982,0.000299843876718019,0.00652514021338954,"IHH","3549","Hs.654504"
"ENSG00000140307",-1.70525574789988,4.65438925229938,0.000310667207895499,0.00669749141881255,"GTF2A2","2958","Hs.512934"
"ENSG00000178927",-1.721362733704,4.39017122874716,0.000317800952896895,0.00681941719158058,"C17orf62","79415","Hs.163113"
"ENSG00000076984",-1.65117433570139,5.73507175224253,0.000319414380629288,0.00683813570781076,"MAP2K7","5609","Hs.531754"
"ENSG00000177951",-1.68716553344651,4.9632243429398,0.000322880073360621,0.00688040285657841,"BET1L","51272","Hs.414418"
"ENSG00000108219",-1.64926900755152,5.704470446749,0.00032663141306014,0.00694430425876939,"TSPAN14","81619","Hs.718943"
"ENSG00000120533",-1.68363026366425,4.96054151651906,0.000329823203429464,0.00696402448064913,"ENY2","56943","Hs.492555"
"ENSG00000130305",-1.74101060813072,4.17862351503098,0.000332059458494609,0.00699523430029624,"NSUN5","55695","Hs.510927"
"ENSG00000135521",-1.67018224956319,5.08232744776465,0.000340136303941036,0.00711117664746466,"LTV1","84946","Hs.185675"
"ENSG00000120688",-1.75445616878635,4.04840301726382,0.000340645938894481,0.00711117664746466,"WBP4","11193","Hs.411300"
"ENSG00000109046",-1.63308814800604,5.99054807740593,0.000342347061250458,0.00713055605904736,"WSB1","26118","Hs.446017"
"ENSG00000184436",-1.69206375223122,4.64436873500995,0.000345131183204669,0.0071723545662826,"THAP7","80764","Hs.512756"
