ENSEMBL GENE ID	HDMSO	HALPHA
ENSG00000000003	1133	918
ENSG00000000005	1	0
ENSG00000000419	623	173
ENSG00000000457	325	118
ENSG00000000460	301	149
ENSG00000000938	0	4
ENSG00000000971	18	43
ENSG00000001036	2707	1573
ENSG00000001084	402	94
ENSG00000001167	759	149
ENSG00000001460	50	24
ENSG00000001461	142	59
ENSG00000001497	740	364
ENSG00000001561	28	9
ENSG00000001617	121	197
ENSG00000001626	10	2
ENSG00000001629	595	149
ENSG00000001630	117	29
ENSG00000001631	668	143
ENSG00000002016	189	72
ENSG00000002079	6	15
ENSG00000002330	98	35
ENSG00000002549	1112	798
ENSG00000002586	0	0
ENSG00000002587	11	6
ENSG00000002726	1	2
ENSG00000002745	1	0
ENSG00000002746	46	31
ENSG00000002822	521	109
ENSG00000002834	3986	1460
ENSG00000002919	169	35
ENSG00000002933	0	0
ENSG00000003056	1200	402
ENSG00000003096	260	134
ENSG00000003137	867	448
ENSG00000003147	237	79
ENSG00000003249	279	94
ENSG00000003393	460	170
ENSG00000003400	151	51
ENSG00000003402	593	178
ENSG00000003436	2626	884
ENSG00000003509	183	57
ENSG00000003756	1193	257
ENSG00000003987	40	26
ENSG00000003989	2119	1669
ENSG00000004059	675	708
ENSG00000004139	484	950
ENSG00000004142	2767	2182
ENSG00000004399	180	96
ENSG00000004455	1124	576
ENSG00000004468	9	11
ENSG00000004478	2173	641
ENSG00000004487	2052	735
ENSG00000004534	1197	332
ENSG00000004660	0	0
ENSG00000004700	518	249
ENSG00000004766	219	94
ENSG00000004776	21	13
ENSG00000004777	203	103
ENSG00000004779	706	411
ENSG00000004799	11	8
ENSG00000004809	0	4
ENSG00000004838	24	35
ENSG00000004846	3	2
ENSG00000004848	0	1
ENSG00000004864	1571	637
ENSG00000004866	393	122
ENSG00000004897	693	186
ENSG00000004939	0	4
ENSG00000004948	7	3
ENSG00000004961	391	180
ENSG00000004975	959	292
ENSG00000005001	2	0
ENSG00000005007	2412	1446
ENSG00000005020	193	267
ENSG00000005022	4441	1297
ENSG00000005059	13	10
ENSG00000005073	31	15
ENSG00000005075	704	472
ENSG00000005100	645	257
ENSG00000005102	1	0
ENSG00000005108	97	70
ENSG00000005156	1034	351
ENSG00000005175	861	174
ENSG00000005187	176	136
ENSG00000005189	170	53
ENSG00000005194	475	108
ENSG00000005206	690	274
ENSG00000005238	94	17
ENSG00000005243	5	2
ENSG00000005249	263	47
ENSG00000005302	73	33
ENSG00000005339	1422	596
ENSG00000005379	6	33
ENSG00000005381	1	15
ENSG00000005421	209	105
ENSG00000005436	366	121
ENSG00000005448	56	26
ENSG00000005469	72	35
ENSG00000005471	202	67
ENSG00000005483	940	1225
ENSG00000005486	852	560
ENSG00000005513	3	0
ENSG00000005700	970	299
ENSG00000005801	419	81
ENSG00000005810	524	163
ENSG00000005812	566	81
ENSG00000005844	198	79
ENSG00000005882	67	37
ENSG00000005884	12	10
ENSG00000005889	197	153
ENSG00000005893	1681	1171
ENSG00000005961	3	22
ENSG00000005981	11	3
ENSG00000006007	661	292
ENSG00000006015	883	329
ENSG00000006016	49	90
ENSG00000006025	197	153
ENSG00000006042	389	310
ENSG00000006047	3	2
ENSG00000006059	0	0
ENSG00000006062	49	9
ENSG00000006071	1	107
ENSG00000006116	0	1
ENSG00000006118	2867	2048
ENSG00000006125	2762	2959
ENSG00000006128	0	2
ENSG00000006194	304	383
ENSG00000006210	346	163
ENSG00000006282	675	489
ENSG00000006283	1	7
ENSG00000006327	414	167
ENSG00000006377	152	23
ENSG00000006432	187	124
ENSG00000006451	529	114
ENSG00000006453	1258	491
ENSG00000006459	300	90
ENSG00000006468	246	12
ENSG00000006530	56	25
ENSG00000006534	131	67
ENSG00000006555	27	240
ENSG00000006576	357	78
ENSG00000006606	0	1
ENSG00000006607	353	175
ENSG00000006611	744	476
ENSG00000006625	617	376
ENSG00000006634	586	190
ENSG00000006638	11	3
ENSG00000006652	1008	152
ENSG00000006659	1	0
ENSG00000006695	339	81
ENSG00000006704	425	152
ENSG00000006712	1245	200
ENSG00000006715	438	163
ENSG00000006740	15	14
ENSG00000006744	1396	729
ENSG00000006747	12	7
ENSG00000006756	167	110
ENSG00000006757	166	57
ENSG00000006788	0	2
ENSG00000006831	1190	348
ENSG00000006837	4	11
ENSG00000007001	1	0
ENSG00000007038	0	0
ENSG00000007047	549	224
ENSG00000007062	827	187
ENSG00000007080	1372	1219
ENSG00000007129	0	0
ENSG00000007168	784	268
ENSG00000007171	0	0
ENSG00000007174	0	0
ENSG00000007202	2421	1183
ENSG00000007216	1	20
ENSG00000007237	0	0
ENSG00000007255	238	167
ENSG00000007264	0	0
ENSG00000007306	0	0
ENSG00000007312	0	0
ENSG00000007314	0	7
ENSG00000007341	209	56
ENSG00000007350	0	0
ENSG00000007372	609	74
ENSG00000007376	786	137
ENSG00000007384	324	232
ENSG00000007392	659	70
ENSG00000007402	2	1
ENSG00000007516	201	91
ENSG00000007520	465	215
ENSG00000007541	413	157
ENSG00000007545	213	202
ENSG00000007866	358	67
ENSG00000007908	1	5
ENSG00000007923	1499	786
ENSG00000007933	7	3
ENSG00000007944	91	20
ENSG00000007952	44	19
ENSG00000007968	286	205
ENSG00000008018	2351	867
ENSG00000008056	2	1
ENSG00000008083	196	107
ENSG00000008086	77	55
ENSG00000008118	0	0
ENSG00000008128	35	27
ENSG00000008130	586	499
ENSG00000008196	0	4
ENSG00000008197	0	0
ENSG00000008226	526	404
ENSG00000008256	35	12
ENSG00000008277	98	64
ENSG00000008282	358	41
ENSG00000008283	2	0
ENSG00000008294	1317	741
ENSG00000008300	348	125
ENSG00000008311	177	83
ENSG00000008323	397	198
ENSG00000008324	378	45
ENSG00000008382	307	315
ENSG00000008394	4355	2739
ENSG00000008405	904	189
ENSG00000008438	2	0
ENSG00000008441	308	222
ENSG00000008513	707	157
ENSG00000008516	9	7
ENSG00000008517	255	443
ENSG00000008710	835	391
ENSG00000008735	12	19
ENSG00000008838	1310	1117
ENSG00000008853	188	66
ENSG00000008869	146	99
ENSG00000008952	3102	579
ENSG00000008988	5029	4019
ENSG00000009307	5040	4656
ENSG00000009335	836	166
ENSG00000009413	339	125
ENSG00000009694	24	9
ENSG00000009709	0	0
ENSG00000009724	99	258
ENSG00000009765	3	4
ENSG00000009780	90	26
ENSG00000009790	11	2
ENSG00000009830	316	168
ENSG00000009844	1176	415
ENSG00000009950	269	143
ENSG00000009954	2180	941
ENSG00000010017	712	167
ENSG00000010030	0	2
ENSG00000010072	291	81
ENSG00000010165	440	71
ENSG00000010219	103	108
ENSG00000010244	2330	536
ENSG00000010256	3804	2715
ENSG00000010270	360	64
ENSG00000010278	36	34
ENSG00000010282	1	4
ENSG00000010292	2573	1488
ENSG00000010295	440	138
ENSG00000010310	20	10
ENSG00000010318	44	16
ENSG00000010319	0	3
ENSG00000010322	395	118
ENSG00000010327	317	319
ENSG00000010361	271	167
ENSG00000010379	17	42
ENSG00000010404	89	40
ENSG00000010438	7	1
ENSG00000010539	55	8
ENSG00000010610	0	30
ENSG00000010626	62	82
ENSG00000010671	0	10
ENSG00000010704	44	48
ENSG00000010803	537	316
ENSG00000010810	564	38
ENSG00000010818	252	258
ENSG00000010932	12	10
ENSG00000011007	473	665
ENSG00000011009	648	177
ENSG00000011021	770	1717
ENSG00000011028	0	186
ENSG00000011052	0	0
ENSG00000011083	2	10
ENSG00000011105	352	352
ENSG00000011114	0	0
ENSG00000011132	376	111
ENSG00000011143	167	47
ENSG00000011198	182	39
ENSG00000011201	1	1
ENSG00000011243	1302	1635
ENSG00000011258	502	201
ENSG00000011260	494	91
ENSG00000011275	1176	387
ENSG00000011295	325	172
ENSG00000011304	9263	3164
ENSG00000011332	68	25
ENSG00000011347	221	105
ENSG00000011376	450	253
ENSG00000011405	751	246
ENSG00000011422	20	5
ENSG00000011426	1211	248
ENSG00000011451	1414	1238
ENSG00000011454	383	166
ENSG00000011465	0	1
ENSG00000011478	399	207
ENSG00000011485	1654	390
ENSG00000011523	253	150
ENSG00000011566	462	103
ENSG00000011590	1	4
ENSG00000011600	0	0
ENSG00000011638	8	1
ENSG00000011677	0	0
ENSG00000012048	735	181
ENSG00000012061	1430	363
ENSG00000012124	0	0
ENSG00000012171	139	183
ENSG00000012174	136	76
ENSG00000012211	246	43
ENSG00000012223	7	1
ENSG00000012232	381	72
ENSG00000012504	949	257
ENSG00000012660	982	240
ENSG00000012779	0	0
ENSG00000012817	0	0
ENSG00000012822	332	127
ENSG00000012963	0	0
ENSG00000012983	314	105
ENSG00000013016	5	0
ENSG00000013275	3573	1889
ENSG00000013288	877	788
ENSG00000013293	1	19
ENSG00000013297	5	34
ENSG00000013306	2543	3481
ENSG00000013364	218	133
ENSG00000013374	573	256
ENSG00000013375	1424	251
ENSG00000013392	128	14
ENSG00000013441	367	251
ENSG00000013503	883	122
ENSG00000013523	229	41
ENSG00000013561	155	76
ENSG00000013563	181	67
ENSG00000013573	485	112
ENSG00000013583	295	85
ENSG00000013588	22	36
ENSG00000013619	12	2
ENSG00000013725	0	0
ENSG00000013810	2641	1933
ENSG00000014123	574	181
ENSG00000014138	441	34
ENSG00000014164	419	123
ENSG00000014216	1082	973
ENSG00000014257	1	3
ENSG00000014641	1720	972
ENSG00000014824	827	260
ENSG00000014914	22	172
ENSG00000014919	546	321
ENSG00000015133	875	499
ENSG00000015153	299	116
ENSG00000015171	800	336
ENSG00000015285	5	28
ENSG00000015413	3	2
ENSG00000015475	1307	705
ENSG00000015479	2442	2338
ENSG00000015520	523	277
ENSG00000015532	355	108
ENSG00000015568	0	0
ENSG00000015592	0	0
ENSG00000015676	520	130
ENSG00000016082	1	1
ENSG00000016391	653	163
ENSG00000016402	0	0
ENSG00000016490	0	0
ENSG00000016602	0	0
ENSG00000016864	225	53
ENSG00000017260	1084	683
ENSG00000017427	8	2
ENSG00000017483	5	6
ENSG00000017797	1015	246
ENSG00000018189	261	147
ENSG00000018236	9	9
ENSG00000018280	4	4
ENSG00000018408	241	100
ENSG00000018510	1950	534
ENSG00000018607	0	1
ENSG00000018610	155	38
ENSG00000018625	1	13
ENSG00000018699	196	44
ENSG00000018869	76	19
ENSG00000019102	0	1
ENSG00000019144	548	127
ENSG00000019169	10	1
ENSG00000019186	0	0
ENSG00000019485	77	9
ENSG00000019505	0	0
